movie,baidu_movie_index_summary_filled_sum,baidu_movie_index_summary_filled_mean
棉花糖和云朵妈妈,44413.0,418.9905660377359
长安三万里,1095811.0,10337.83962264151
超级飞侠：乐迪加速,0.0,108.51650943396226
茶啊二中,474084.0,4472.490566037736
欢乐丛林,0.0,108.51650943396226
萌鼠大冒险,0.0,108.51650943396226
百变马丁：怪兽大作战,0.0,108.51650943396226
超级英雄美猴王：齐天儿,0.0,108.51650943396226
飞向月球,15264.0,144.0
雪域少年,0.0,108.51650943396226
王牌二哈,0.0,108.51650943396226
龙珠寻游记,0.0,108.51650943396226
嗨！神兽,0.0,108.51650943396226
贝肯熊：火星任务,0.0,108.51650943396226
功夫王,4724.0,44.56603773584906
迷你特工队,200382.0,1890.3962264150944
蚂蚁传奇,0.0,108.51650943396226
四季童年,0.0,108.51650943396226
舒克贝塔·五角飞碟,0.0,108.51650943396226
天降大任,29001.0,273.5943396226415
大雨,68006.0,641.566037735849
江豚·风时舞,0.0,108.51650943396226
熊出没,1309202.0,12350.962264150943
雄狮少年,135333.0,1276.7264150943397
盒中之海,10249.0,96.688679245283
新大头儿子和小头爸爸,0.0,108.51650943396226
守龙者,18158.0,171.30188679245282
阿狸,84723.0,799.2735849056604
白蛇：浮生,0.0,108.51650943396226
喜羊羊与灰太狼,504257.0,4757.141509433963
落凡尘,82348.0,776.8679245283018
伞少女,38056.0,359.0188679245283
头脑特工队,199097.0,1878.2735849056603
一,2841375.0,26805.424528301886
休,104557.0,986.3867924528302
心源,0.0,108.51650943396226
小诗人,0.0,108.51650943396226
龙门,62728.0,591.7735849056604
出口,57351.0,541.0471698113207
加菲猫家族,28769.0,271.4056603773585
猪猪侠大电影·星际行动,0.0,108.51650943396226
趣说经典,0.0,108.51650943396226
开心超人,159644.0,1506.0754716981132
聊斋：兰若寺,0.0,108.51650943396226
时间之子,54600.0,515.0943396226415
恶兽,0.0,108.51650943396226
哪吒,1569149.0,14803.292452830188
罗小黑战记,125017.0,1179.4056603773586
非人哉：限时玩家,0.0,108.51650943396226
浪浪山小妖怪,0.0,108.51650943396226
