movie,douyin_movie_final_num,douyin_movie_final_likes,douyin_movie_final_comments,douyin_movie_final_shares
棉花糖和云朵妈妈,1,1161,45,83
长安三万里,5,2357,109,501
超级飞侠：乐迪加速,1,1161,45,83
茶啊二中,3,7172,681,1017
欢乐丛林,1,1161,45,83
萌鼠大冒险,1,1161,45,83
百变马丁：怪兽大作战,1,1161,45,83
超级英雄美猴王：齐天儿,1,1161,45,83
飞向月球,1,1161,45,83
雪域少年,1,1161,45,83
王牌二哈,5,105,20,60
龙珠寻游记,1,1161,45,83
嗨！神兽,1,1161,45,83
贝肯熊：火星任务,5,155,15,0
功夫王,1,1161,45,83
迷你特工队,1,1161,45,83
蚂蚁传奇,1,1161,45,83
四季童年,1,1161,45,83
舒克贝塔·五角飞碟,1,1161,45,83
天降大任,1,1567,20,82
大雨,9,424769,12296,113386
江豚·风时舞,1,1161,45,83
熊出没,9,604331,77850,409215
雄狮少年,10,164832,3749,12868
盒中之海,7,221,23,42
新大头儿子和小头爸爸,1,1161,45,83
守龙者,1,1161,45,83
阿狸,3,63614,1069,7739
白蛇：浮生,1,1343,53,483
喜羊羊与灰太狼,2,11004,670,4675
落凡尘,3,10083,265,371
伞少女,2,132,4,42
头脑特工队,11,15008,444,2674
一,24,798712,15501,144671
休,14,43498,1814,4188
心源,1,1161,45,83
小诗人,1,1161,45,83
龙门,9,150863,1933,19009
出口,6,19081,1322,1895
加菲猫家族,3,49748,2813,13610
猪猪侠大电影·星际行动,1,1161,45,83
趣说经典,1,1161,45,83
开心超人,11,8381,584,397
聊斋：兰若寺,1,72,22,26
时间之子,4,28661,836,4265
恶兽,5,2028,121,120
哪吒,11,264385,7532,36206
罗小黑战记,1,1161,45,83
非人哉：限时玩家,1,1161,45,83
浪浪山小妖怪,6,43949,1283,6569
