anime,final_score
落凡尘,0.6353031206296575
哪吒,0.632624856869628
大雨,0.5495884120292764
雄狮少年,0.5423064834559255
盒中之海,0.5075577100864423
时间之子,0.45065651525931494
伞少女,0.4417881571035087
一,0.3998312975674657
守龙者,0.3869100651488497
白蛇：浮生,0.38593115481992
熊出没,0.3565277162472871
出口,0.34330192602733156
喜羊羊与灰太狼,0.31907850358767603
龙门,0.31127551634526324
休,0.30882738820423267
长安三万里,0.28546307146180305
茶啊二中,0.25905493076894537
罗小黑战记,0.22700226270650886
头脑特工队,0.22117616978721438
飞向月球,0.2130122568138469
阿狸,0.20958651012532664
开心超人,0.20830493494166719
龙珠寻游记,0.19624253824968432
猪猪侠大电影·星际行动,0.19363721957762484
功夫王,0.1915780163942986
贝肯熊：火星任务,0.1766451179000879
迷你特工队,0.15870498795840962
萌鼠大冒险,0.1553574330411834
四季童年,0.15092199192391917
心源,0.142162266431899
加菲猫家族,0.12938670355627416
浪浪山小妖怪,0.103766854791106
天降大任,0.10009351357587026
棉花糖和云朵妈妈,0.09877639477094244
超级飞侠：乐迪加速,0.07987557021487351
小诗人,0.0764721867590912
嗨！神兽,0.07424263441836393
超级英雄美猴王：齐天儿,0.06430239060366161
王牌二哈,0.0621654605652969
百变马丁：怪兽大作战,0.061617201900646595
蚂蚁传奇,0.05945544179854394
欢乐丛林,0.058852523244900444
聊斋：兰若寺,0.05825857139998445
趣说经典,0.05803822345880086
新大头儿子和小头爸爸,0.056337710740026525
舒克贝塔·五角飞碟,0.05433418695166086
江豚·风时舞,0.04941341455642494
雪域少年,0.0491134353191301
非人哉：限时玩家,0.0465429806556131
恶兽,0.04645628365843778
